Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:5Rizj5FLb2AyNKu9esjYY6,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,-1,"Þú gekkst of langt, AK.",ee1e5dc806a449acadff0e847f83d274
spotify:track:648BMGrt98kUbLo24A4vgj,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,10,"Hittari dauðans. Þvílíkt val. Svona vil ég að ungir sjálfstæðismenn haga sér. Eins og klipptir úr Ferris Bueller's day off en með hugarfar verðbréfamiðlara á Wall Street. Lag vikunnar, vel gert Ævar.",ee1e5dc806a449acadff0e847f83d274
spotify:track:6dqtXAD7TqlhZVroaUigVC,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,0,"Þetta er Kópavogur, ekki Garðabær. Ungir sjálfstæðismenn borða kannski sushi og steik, en það er ekki þetta lag. Frekar basic, Stebbi.",ee1e5dc806a449acadff0e847f83d274
spotify:track:79mYNfvMefhmL5IqRmUnCK,6189c19985104f33a8791204c9cb0dd0,2026-02-28T20:51:37Z,-2,"Ég veit að mér ætti að finnast þetta lag gott og ég veit að ég ætti að hafa heyrt um þessa hljómsveit áður, en mér er alveg sama. Þetta er bara ekki gott lag. Sorrí með mig, Óli.",ee1e5dc806a449acadff0e847f83d274
spotify:track:0bZelokqNQicLQfLU1Ayw8,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,0,Níhílisk sending til ungra hægrimanna frekar en óður til þeirra. Óli.,ee1e5dc806a449acadff0e847f83d274
spotify:track:0j2T0R9dR9qdJYsB7ciXhf,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,5,Klárlega með stuttbuxurnar í blóðinu. Sé þetta alveg spilað í kjallaranum í Valhöll. Biggi.,ee1e5dc806a449acadff0e847f83d274
spotify:track:27xqsgm4fzBtEnd6V2B7bW,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,-1,Meira Garðabær en stuttbuxur. Tangentially thematic. AK.,ee1e5dc806a449acadff0e847f83d274
spotify:track:2A7IJnBcu2OD0piARVu82U,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,0,Stuttbuxurnar eru ekki emo og þær eru sjaldnast þjakaðar af sektarkennd. Hróplegur misskilningur á andlagi þemans. Geir?,ee1e5dc806a449acadff0e847f83d274
spotify:track:3gqHCUYOhTAWJDE4CAIde3,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,10,Já já já. Negla. Grímur.,ee1e5dc806a449acadff0e847f83d274
spotify:track:4fPBB44eDH71YohayI4eKV,aca0e792c50d4deeba9b8163723a08d3,2026-02-28T21:36:42Z,-2,Eina leiðin fyrir þetta lag til að virka er sem dæmi um leim lag sem stuttbuxurnar fíla. EP.,ee1e5dc806a449acadff0e847f83d274
